Year,State,State ANSI,County,County ANSI,Commodity,Value
2020,INDIANA,18,BARTHOLOMEW,5,CORN,"51,300"
2020,INDIANA,18,BARTHOLOMEW,5,CORN,"50,000"
2020,INDIANA,18,BARTHOLOMEW,5,CORN,"9,375,000"
2020,INDIANA,18,BARTHOLOMEW,5,CORN,187.5
2020,INDIANA,18,BOONE,11,CORN,"93,200"
2020,INDIANA,18,BOONE,11,CORN,"90,500"
2020,INDIANA,18,BOONE,11,CORN,"20,082,000"
2020,INDIANA,18,BOONE,11,CORN,221.9
2020,INDIANA,18,CLINTON,23,CORN,"104,500"
2020,INDIANA,18,CLINTON,23,CORN,"101,400"
2020,INDIANA,18,CLINTON,23,CORN,"21,000,000"
2020,INDIANA,18,CLINTON,23,CORN,207.1
2020,INDIANA,18,DECATUR,31,CORN,"74,500"
2020,INDIANA,18,DECATUR,31,CORN,"72,300"
2020,INDIANA,18,DECATUR,31,CORN,"15,147,000"
2020,INDIANA,18,DECATUR,31,CORN,209.5
2020,INDIANA,18,GRANT,53,CORN,"72,600"
2020,INDIANA,18,GRANT,53,CORN,"70,500"
2020,INDIANA,18,GRANT,53,CORN,"13,240,000"
2020,INDIANA,18,GRANT,53,CORN,187.8
2020,INDIANA,18,HAMILTON,57,CORN,"49,600"
2020,INDIANA,18,HAMILTON,57,CORN,"48,100"
2020,INDIANA,18,HAMILTON,57,CORN,"9,076,000"
2020,INDIANA,18,HAMILTON,57,CORN,188.7
2020,INDIANA,18,HANCOCK,59,CORN,"60,800"
2020,INDIANA,18,HANCOCK,59,CORN,"59,000"
2020,INDIANA,18,HANCOCK,59,CORN,"11,122,000"
2020,INDIANA,18,HANCOCK,59,CORN,188.5
2020,INDIANA,18,HENDRICKS,63,CORN,"68,600"
2020,INDIANA,18,HENDRICKS,63,CORN,"68,400"
2020,INDIANA,18,HENDRICKS,63,CORN,"14,036,000"
2020,INDIANA,18,HENDRICKS,63,CORN,205.2
2020,INDIANA,18,HOWARD,67,CORN,"62,500"
2020,INDIANA,18,HOWARD,67,CORN,"60,700"
2020,INDIANA,18,HOWARD,67,CORN,"12,935,000"
2020,INDIANA,18,HOWARD,67,CORN,213.1
2020,INDIANA,18,JOHNSON,81,CORN,"37,900"
2020,INDIANA,18,JOHNSON,81,CORN,"36,800"
2020,INDIANA,18,JOHNSON,81,CORN,"6,779,000"
2020,INDIANA,18,JOHNSON,81,CORN,184.2
2020,INDIANA,18,MADISON,95,CORN,"86,600"
2020,INDIANA,18,MADISON,95,CORN,"84,500"
2020,INDIANA,18,MADISON,95,CORN,"17,297,000"
2020,INDIANA,18,MADISON,95,CORN,204.7
2020,INDIANA,18,MARION,97,CORN,"5,300"
2020,INDIANA,18,MARION,97,CORN,"5,170"
2020,INDIANA,18,MARION,97,CORN,"992,000"
2020,INDIANA,18,MARION,97,CORN,191.9
2020,INDIANA,18,MORGAN,109,CORN,"35,800"
2020,INDIANA,18,MORGAN,109,CORN,"34,800"
2020,INDIANA,18,MORGAN,109,CORN,"6,542,000"
2020,INDIANA,18,MORGAN,109,CORN,188
2020,INDIANA,18,RUSH,139,CORN,"106,000"
2020,INDIANA,18,RUSH,139,CORN,"102,400"
2020,INDIANA,18,RUSH,139,CORN,"20,675,000"
2020,INDIANA,18,RUSH,139,CORN,201.9
2020,INDIANA,18,SHELBY,145,CORN,"93,000"
2020,INDIANA,18,SHELBY,145,CORN,"89,800"
2020,INDIANA,18,SHELBY,145,CORN,"17,152,000"
2020,INDIANA,18,SHELBY,145,CORN,191
2020,INDIANA,18,TIPTON,159,CORN,"69,500"
2020,INDIANA,18,TIPTON,159,CORN,"67,500"
2020,INDIANA,18,TIPTON,159,CORN,"14,624,000"
2020,INDIANA,18,TIPTON,159,CORN,216.7
2020,INDIANA,18,BLACKFORD,9,CORN,"29,400"
2020,INDIANA,18,BLACKFORD,9,CORN,"28,500"
2020,INDIANA,18,BLACKFORD,9,CORN,"5,355,000"
2020,INDIANA,18,BLACKFORD,9,CORN,187.9
2020,INDIANA,18,DELAWARE,35,CORN,"68,700"
2020,INDIANA,18,DELAWARE,35,CORN,"66,700"
2020,INDIANA,18,DELAWARE,35,CORN,"12,806,000"
2020,INDIANA,18,DELAWARE,35,CORN,192
2020,INDIANA,18,FAYETTE,41,CORN,"35,500"
2020,INDIANA,18,FAYETTE,41,CORN,"34,500"
2020,INDIANA,18,FAYETTE,41,CORN,"6,607,000"
2020,INDIANA,18,FAYETTE,41,CORN,191.5
2020,INDIANA,18,HENRY,65,CORN,"75,700"
2020,INDIANA,18,HENRY,65,CORN,"73,400"
2020,INDIANA,18,HENRY,65,CORN,"14,430,000"
2020,INDIANA,18,HENRY,65,CORN,196.6
2020,INDIANA,18,JAY,75,CORN,"74,800"
2020,INDIANA,18,JAY,75,CORN,"72,600"
2020,INDIANA,18,JAY,75,CORN,"13,061,000"
2020,INDIANA,18,JAY,75,CORN,179.9
2020,INDIANA,18,RANDOLPH,135,CORN,"106,000"
2020,INDIANA,18,RANDOLPH,135,CORN,"102,100"
2020,INDIANA,18,RANDOLPH,135,CORN,"18,776,000"
2020,INDIANA,18,RANDOLPH,135,CORN,183.9
2020,INDIANA,18,UNION,161,CORN,"31,900"
2020,INDIANA,18,UNION,161,CORN,"31,000"
2020,INDIANA,18,UNION,161,CORN,"6,476,000"
2020,INDIANA,18,UNION,161,CORN,208.9
2020,INDIANA,18,WAYNE,177,CORN,"63,400"
2020,INDIANA,18,WAYNE,177,CORN,"61,700"
2020,INDIANA,18,WAYNE,177,CORN,"11,513,000"
2020,INDIANA,18,WAYNE,177,CORN,186.6
2020,INDIANA,18,CARROLL,15,CORN,"88,300"
2020,INDIANA,18,CARROLL,15,CORN,"87,200"
2020,INDIANA,18,CARROLL,15,CORN,"18,277,000"
2020,INDIANA,18,CARROLL,15,CORN,209.6
2020,INDIANA,18,CASS,17,CORN,"97,300"
2020,INDIANA,18,CASS,17,CORN,"94,500"
2020,INDIANA,18,CASS,17,CORN,"18,938,000"
2020,INDIANA,18,CASS,17,CORN,200.4
2020,INDIANA,18,ELKHART,39,CORN,"50,900"
2020,INDIANA,18,ELKHART,39,CORN,"46,000"
2020,INDIANA,18,ELKHART,39,CORN,"8,039,000"
2020,INDIANA,18,ELKHART,39,CORN,174.8
2020,INDIANA,18,FULTON,49,CORN,"90,800"
2020,INDIANA,18,FULTON,49,CORN,"88,300"
2020,INDIANA,18,FULTON,49,CORN,"15,982,000"
2020,INDIANA,18,FULTON,49,CORN,181
2020,INDIANA,18,KOSCIUSKO,85,CORN,"100,000"
2020,INDIANA,18,KOSCIUSKO,85,CORN,"97,100"
2020,INDIANA,18,KOSCIUSKO,85,CORN,"16,789,000"
2020,INDIANA,18,KOSCIUSKO,85,CORN,172.9
2020,INDIANA,18,MARSHALL,99,CORN,"91,700"
2020,INDIANA,18,MARSHALL,99,CORN,"87,900"
2020,INDIANA,18,MARSHALL,99,CORN,"15,426,000"
2020,INDIANA,18,MARSHALL,99,CORN,175.5
2020,INDIANA,18,MIAMI,103,CORN,"66,800"
2020,INDIANA,18,MIAMI,103,CORN,"65,200"
2020,INDIANA,18,MIAMI,103,CORN,"11,788,000"
2020,INDIANA,18,MIAMI,103,CORN,180.8
2020,INDIANA,18,ST. JOSEPH,141,CORN,"64,200"
2020,INDIANA,18,ST. JOSEPH,141,CORN,"62,200"
2020,INDIANA,18,ST. JOSEPH,141,CORN,"10,432,000"
2020,INDIANA,18,ST. JOSEPH,141,CORN,167.7
2020,INDIANA,18,WABASH,169,CORN,"76,000"
2020,INDIANA,18,WABASH,169,CORN,"73,800"
2020,INDIANA,18,WABASH,169,CORN,"12,856,000"
2020,INDIANA,18,WABASH,169,CORN,174.2
2020,INDIANA,18,ADAMS,1,CORN,"59,800"
2020,INDIANA,18,ADAMS,1,CORN,"58,200"
2020,INDIANA,18,ADAMS,1,CORN,"10,470,000"
2020,INDIANA,18,ADAMS,1,CORN,179.9
2020,INDIANA,18,ALLEN,3,CORN,"76,100"
2020,INDIANA,18,ALLEN,3,CORN,"73,900"
2020,INDIANA,18,ALLEN,3,CORN,"12,208,000"
2020,INDIANA,18,ALLEN,3,CORN,165.2
2020,INDIANA,18,DE KALB,33,CORN,"43,800"
2020,INDIANA,18,DE KALB,33,CORN,"42,500"
2020,INDIANA,18,DE KALB,33,CORN,"5,806,000"
2020,INDIANA,18,DE KALB,33,CORN,136.6
2020,INDIANA,18,HUNTINGTON,69,CORN,"66,000"
2020,INDIANA,18,HUNTINGTON,69,CORN,"64,500"
2020,INDIANA,18,HUNTINGTON,69,CORN,"12,003,000"
